subject_area,subj_code,title,number,section_ids
Ethnomusicology,ETHNMUS,Advanced World Music Performance Organizations: Music of Java,161H,"{5863103,4348}"
Ethnomusicology,ETHNMUS,Advanced World Music Performance Organizations: Music of Mexico,161K,"{932,5865035}"
Ethnomusicology,ETHNMUS,Advanced World Music Performance Organizations: Music of Near East,161N,"{5861713,4728}"
Ethnomusicology,ETHNMUS,Advanced World Music Performance Organizations: Music of Persia,161L,"{5858486,2875,2874,5858451,5858463,597}"
Ethnomusicology,ETHNMUS,Advanced World Music Performance Organizations: Music of Thailand,161M,"{5013,5867109}"
Ethnomusicology,ETHNMUS,Advanced World Music Performance Organizations: Open Ensemble: Armenian Music Ensemble,161Z,{4621}
Ethnomusicology,ETHNMUS,Advanced World Music Performance Organizations: Open Ensemble: Irish Music Ensemble,161Z,{5860028}
Ethnomusicology,ETHNMUS,Advanced World Music Performance Organizations: Open Ensemble: Klezmer Music Ensemble,161Z,"{5863071,3571}"
Ethnomusicology,ETHNMUS,Advanced World Music Performance Organizations: Open Ensemble: Old-Time String Band Ensemble,161Z,"{2888,5864396}"
Ethnomusicology,ETHNMUS,Advanced World Music Specializations: Music of Balkans--Choir,168N,"{5861705,2126}"
Ethnomusicology,ETHNMUS,Advanced World Music Specializations: Music of Balkans--Instrumental Music,168O,"{5859090,2014}"
Ethnomusicology,ETHNMUS,Advanced World Music Specializations: Music of China--Ensemble,168A,"{5867660,1228}"
Ethnomusicology,ETHNMUS,Advanced World Music Specializations: Music of China--Zheng,168B,{5863127}
Ethnomusicology,ETHNMUS,Advanced World Music Specializations: Music of India--Ensemble,168F,"{5859700,2623,2566,5859631,1849,5859672}"
Ethnomusicology,ETHNMUS,Aesthetic and Philosophical Foundations in Systematic Musicology,C178,{848}
Ethnomusicology,ETHNMUS,Aesthetic and Philosophical Foundations in Systematic Musicology,C204,{685}
Ethnomusicology,ETHNMUS,Aesthetics of Music,174,{1887}
Ethnomusicology,ETHNMUS,African American Musical Heritage,M12A,{3303}
Ethnomusicology,ETHNMUS,Anthropology of Music,181,{5864035}
Ethnomusicology,ETHNMUS,Audiovisual Archiving in 21st Century,C100,{1530}
Ethnomusicology,ETHNMUS,Audiovisual Archiving in 21st Century,C200,{4187}
Ethnomusicology,ETHNMUS,Ellingtonia,M111,{5859171}
Ethnomusicology,ETHNMUS,Ethnomusicological Methods I,216A,{5866941}
Ethnomusicology,ETHNMUS,Ethnomusicological Perspectives and Paradigms II: 1960s to Present,215B,{4460}
Ethnomusicology,ETHNMUS,Ethnomusicological Perspectives and Paradigms I: Late 19th Century to 1980s,215A,{5863075}
Ethnomusicology,ETHNMUS,Global Pop,M25,{5859324}
Ethnomusicology,ETHNMUS,Individual Studies for USIE Facilitators,188SA,{5861655}
Ethnomusicology,ETHNMUS,Individual Studies for USIE Facilitators,188SB,{1961}
Ethnomusicology,ETHNMUS,Information Literacy and Research Skills,185,{5867058}
Ethnomusicology,ETHNMUS,Introduction to Musicianship,M6A,"{5864775,5864720,5864610,5864584,5864561,5864685,5864641}"
Ethnomusicology,ETHNMUS,Introduction to Musicianship,M6B,"{1246,1245,908,965,1244,1297,2957}"
Ethnomusicology,ETHNMUS,Jazz in American Culture: 1940s to Present,M50B,{2194}
Ethnomusicology,ETHNMUS,Jazz in American Culture: Late 19th Century through 1940s,M50A,{5859941}
Ethnomusicology,ETHNMUS,Musical Cultures of World: Asia,20C,{1139}
Ethnomusicology,ETHNMUS,Musical Cultures of World: Europe and Americas,20A,{5864543}
Ethnomusicology,ETHNMUS,Music Theory through Recorder,19,{2368}
Ethnomusicology,ETHNMUS,Private Instruction in Music,92,"{5859089,4903}"
Ethnomusicology,ETHNMUS,Research Design and Grant Writing in Ethnomusicology,289,{5865017}
Ethnomusicology,ETHNMUS,Selected Topics in Composition: Lecture 1  ,C165,{5864704}
Ethnomusicology,ETHNMUS,Selected Topics in Composition: Lecture 1  ,C270,{5866192}
Ethnomusicology,ETHNMUS,Seminar: Special Topics in Ethnomusicology: Gendering Armenian Soundscapes,292A,{5127}
Ethnomusicology,ETHNMUS,Seminar: Special Topics in Ethnomusicology: Seminar 1  ,292A,{5865993}
Ethnomusicology,ETHNMUS,Seminar: Systematic Musicology: Seminar 1  ,279,{5864482}
Ethnomusicology,ETHNMUS,Senior Recital or Project,186,"{5864026,2664}"
Ethnomusicology,ETHNMUS,Special Courses in Ethnomusicology: Music of Iran,188,{1904}
Ethnomusicology,ETHNMUS,Studies in Chinese Instrumental Music,158,{599}
Ethnomusicology,ETHNMUS,Study of Ethnomusicology,183,{5859124}
Ethnomusicology,ETHNMUS,Teaching World Music and Music Appreciation,280,{4787}
Ethnomusicology,ETHNMUS,Traditional North American Indian Music,106A,{5864007}
Ethnomusicology,ETHNMUS,Wanderings: Music Crossing Boundaries,19,{343}
Ethnomusicology,ETHNMUS,World Music Performance Organizations: Music and Dance of Ghana,91E,"{1497,5863133}"
Ethnomusicology,ETHNMUS,World Music Performance Organizations: Music of African Americans,91P,"{4359,5862642}"
Ethnomusicology,ETHNMUS,World Music Performance Organizations: Music of Bali,91B,"{1942,5863981}"
Ethnomusicology,ETHNMUS,World Music Performance Organizations: Music of Java,91H,"{770,5863122}"
Ethnomusicology,ETHNMUS,World Music Performance Organizations: Music of Mexico,91K,"{943,5865477}"
Ethnomusicology,ETHNMUS,World Music Performance Organizations: Music of Near East,91N,"{5867060,1958}"
Ethnomusicology,ETHNMUS,World Music Performance Organizations: Music of Persia,91L,"{5859148,1826,5859123,2831,5859103,2830}"
Ethnomusicology,ETHNMUS,World Music Performance Organizations: Open Ensemble: Armenian Music Ensemble,91Z,{1279}
Ethnomusicology,ETHNMUS,World Music Performance Organizations: Open Ensemble: Irish Music Ensemble,91Z,{5859099}
Ethnomusicology,ETHNMUS,World Music Performance Organizations: Open Ensemble: Klezmer Music Ensemble,91Z,"{4463,5867094}"
Ethnomusicology,ETHNMUS,World Music Performance Organizations: Open Ensemble: Music of Thailand,91Z,"{1746,5862607}"
Ethnomusicology,ETHNMUS,World Music Performance Organizations: Open Ensemble: Old-Time String Band Ensemble,91Z,"{5867053,419}"
Ethnomusicology,ETHNMUS,World Music Specializations: Music of Balkans--Choir,68N,"{984,5867057}"
Ethnomusicology,ETHNMUS,World Music Specializations: Music of Balkans--Instrumental Music,68O,"{224,5867050}"
Ethnomusicology,ETHNMUS,World Music Specializations: Music of China--Chinese Opera,68B,{5864411}
Ethnomusicology,ETHNMUS,World Music Specializations: Music of China--Ensemble,68A,"{4997,5867097}"
Ethnomusicology,ETHNMUS,World Music Specializations: Music of India--Ensemble,68F,"{5867115,926,5867169,593}"
Filipino,FILIPNO,Intermediate Filipino,4,{5866175}
Filipino,FILIPNO,Intermediate Filipino,5,{2013}
Filipino,FILIPNO,Introductory Filipino,1,{5866213}
Filipino,FILIPNO,Introductory Filipino,2,{1304}
Film and Television,FILM TV,Adaptation for Screen,437,"{4042,5861780,5861736}"
Film and Television,FILM TV,Advanced Animation Workshop,482A,{4611}
Film and Television,FILM TV,Advanced Animation Workshop: Studio 1  ,482B,{4562}
Film and Television,FILM TV,Advanced Cinematography,419,{5866075}
Film and Television,FILM TV,Advanced Computer Animation,483A,{5859091}
Film and Television,FILM TV,Advanced Computer Animation,483B,{5119}
Film and Television,FILM TV,Advanced Direction of Actors for Film and Television,423B,{4836}
Film and Television,FILM TV,Advanced Documentary Workshop,C186A,"{5864460,5864440}"
Film and Television,FILM TV,Advanced Documentary Workshop,C186B,{3049}
Film and Television,FILM TV,Advanced Documentary Workshop,C403A,"{5858580,5858551}"
Film and Television,FILM TV,Advanced Documentary Workshop,C403B,{1055}
Film and Television,FILM TV,Advanced Film Editing,C154B,{1558}
Film and Television,FILM TV,Advanced Film Editing,C454B,"{5866068,3264}"
Film and Television,FILM TV,Advanced Interactive Animation: Lecture 1  ,488B,{5863837}
Film and Television,FILM TV,Advanced Narrative Directing Workshop,402A,"{5859083,5859064}"
Film and Television,FILM TV,Advanced Narrative Directing Workshop,402B,"{1828,1004}"
Film and Television,FILM TV,Advanced Screenwriting,434,"{5861263,5861244,5861366,5861309,5031,5861350,3773,3776,4978,3775,5861225}"
Film and Television,FILM TV,Advanced Screenwriting Workshop,135A,{5863659}
Film and Television,FILM TV,Advanced Screenwriting Workshop,135B,{1155}
Film and Television,FILM TV,Advanced Television Development Workshop: Seminar 1  ,292B,{5866935}
Film and Television,FILM TV,Advanced Topics in Documentary: New Documentary Forms,109,{93}
Film and Television,FILM TV,Advanced Writing for Short Film and Television Screenplays,435,"{4929,5864828,5864893}"
Film and Television,FILM TV,Animation Workshop: Studio 1  ,C181C,{3163}
Film and Television,FILM TV,Animation Workshop: Studio 1  ,C481C,{3645}
Film and Television,FILM TV,Avid Editing 1,408A,"{5863688,5863666}"
Film and Television,FILM TV,California Stories in Documentary Film,19,{5868380}
Film and Television,FILM TV,Cinema and Media Studies Graduate Colloquium,212,"{1823488,5859690}"
Film and Television,FILM TV,Cinematography,150,"{5861698,944}"
Film and Television,FILM TV,Cinematography,410B,"{5860925,3605,5860974}"
Film and Television,FILM TV,Cinematography and Directing,418,{5859334}
Film and Television,FILM TV,Computer Animation in Film and Video,489A,{5858310}
Film and Television,FILM TV,Computer Applications for Film Study,224,{1168}
Film and Television,FILM TV,"Corporate Internships in Film, Television, and Digital Media",195,"{500766,3802395}"
Film and Television,FILM TV,"Corporate Internships in Film, Television, and Digital Media",195CE,"{1451,1506,5864084,5864175,5864153,1452,80919,2530561,5864102}"
Film and Television,FILM TV,Digital Audio Postproduction,C152C,{2833}
Film and Television,FILM TV,Digital Audio Postproduction,C452C,{2657}
Film and Television,FILM TV,Digital Cinematography,122E,{5866980}
Film and Television,FILM TV,Digital Imagery and Visualization,C142,{790}
Film and Television,FILM TV,Digital Imagery and Visualization,C242,{2255}
Film and Television,FILM TV,Digital Media Producing 1,297A,{5864779}
Film and Television,FILM TV,Digital Media Producing 2,297B,{4909}
Film and Television,FILM TV,Digital Media Studies,51,{919}
Film and Television,FILM TV,Digital Workflow,C158,{5865663}
Film and Television,FILM TV,Digital Workflow,C454C,{5861654}
Film and Television,FILM TV,Directing Actors for Camera Workshop,409,"{4461,5858576}"
Film and Television,FILM TV,Directing Cameras,163,"{218,5864977}"
Film and Television,FILM TV,Directing for Film and Television,459B,{5113}
Film and Television,FILM TV,Directing for Film and Television: Lecture 1  ,459A,{5867580}
Film and Television,FILM TV,Directing for Film and Television: Lecture 2  ,459A,{5859152}
Film and Television,FILM TV,Direction of Actors for Film and Television,423A,{5861737}
Film and Television,FILM TV,Emerging Techniques and Technologies in Cinematography,404,{2000}
Film and Television,FILM TV,Experimental Film,107,{2160}
Film and Television,FILM TV,Feature Film Development I,288A,{5866096}
Film and Television,FILM TV,Feature Film Development II,288B,{212}
Film and Television,FILM TV,Film Analysis for Filmmakers,401,{5865678}
Film and Television,FILM TV,Film and Television Directing,122M,{2982}
Film and Television,FILM TV,Film Authors: Examining Auteur: Contemporary Directors,113,{2883}
Film and Television,FILM TV,Film Editing,154,"{3102,5860975}"
Film and Television,FILM TV,"Film Editing: Overview of History, Technique, and Practice",122D,{5859078}
Film and Television,FILM TV,Film Genres: Lecture 1  ,114,{5860921}
Film and Television,FILM TV,Freshman Symposium,1A,{5861222}
Film and Television,FILM TV,Freshman Symposium,1B,{166}
Film and Television,FILM TV,Fundamentals of Writing for Television,283A,{5866864}
Film and Television,FILM TV,History of American Motion Picture,6A,"{5866814,643}"
Film and Television,FILM TV,History of Documentary Film,108,{5860963}
Film and Television,FILM TV,History of European Motion Picture: Lecture 1  ,106B,{1098}
Film and Television,FILM TV,Independent Spirit: Creative Strategies for Financing and Distributing Independent Features,289C,{3326}
Film and Television,FILM TV,Individual Studies for USIE Facilitators,188SA,{5858238}
Film and Television,FILM TV,Individual Studies for USIE Facilitators,188SB,"{2404927,1051}"
Film and Television,FILM TV,Interactive Animation,488A,{5863698}
Film and Television,FILM TV,Interactive Multimedia Authoring,C244,"{2805,5866079}"
Film and Television,FILM TV,Interactive Multimedia Authoring: Lecture 1  ,C144,"{5861641,1169}"
Film and Television,FILM TV,"Internship Seminars: Film, Television, and Digital Media",194,"{5018,5858588}"
Film and Television,FILM TV,Introduction to Animation,C181A,{5863170}
Film and Television,FILM TV,Introduction to Animation,C481A,{5859317}
Film and Television,FILM TV,Introduction to Art and Business of Producing I,287A,{5867618}
Film and Television,FILM TV,Introduction to Art and Business of Producing II,287B,{2887}
Film and Television,FILM TV,Introduction to Art and Technique of Filmmaking,4,"{5861683,531,5861757}"
Film and Television,FILM TV,Introduction to Digital Media and Tools,155,"{2558,5866926}"
Film and Television,FILM TV,Introduction to Film and Television Writing,430,{5868257}
Film and Television,FILM TV,Introduction to Visual Culture,M50,"{5865014,815}"
Film and Television,FILM TV,Introductory Screenwriting,33,"{5865027,1738}"
Film and Television,FILM TV,Junior Symposium,101A,{5859668}
Film and Television,FILM TV,Lighting for Film and Television,C157,{5860887}
Film and Television,FILM TV,Lighting for Film and Television,C417,{5859393}
Film and Television,FILM TV,Overview of Contemporary Television Industry,184B,{5864201}
Film and Television,FILM TV,Overview of Network Television Management,292A,{4726}
Film and Television,FILM TV,Planning Independent Feature Production,C147,{5865650}
Film and Television,FILM TV,Planning Independent Feature Production,C247,{5860949}
Film and Television,FILM TV,Postproduction,410C,{5861725}
Film and Television,FILM TV,Postproduction Sound,410D,"{5860397,5860425}"
Film and Television,FILM TV,Postproduction Sound Design: Lecture 1  ,453,{5864169}
Film and Television,FILM TV,Practice of Teaching Film and Television,495A,"{5859108,5859130}"
Film and Television,FILM TV,Producing I: Film and Television Development,183A,{838}
Film and Television,FILM TV,Producing II: Entertainment Economics,183B,{5868285}
Film and Television,FILM TV,Production,410E,"{4043,3466,4411}"
Film and Television,FILM TV,Production in Computer Animation: Lecture 1  ,489B,{3407}
Film and Television,FILM TV,Professional Internship in Film and Television,498,"{5230,5859613}"
Film and Television,FILM TV,Research and Development I,290A,{5863012}
Film and Television,FILM TV,Research and Development II,290B,{4863}
Film and Television,FILM TV,Seminar: Animated Film,209D,{4298}
Film and Television,FILM TV,Seminar: Documentary Film,209A,{4829}
Film and Television,FILM TV,Seminar: European Film History: Seminar 1  ,206A,{5859306}
Film and Television,FILM TV,Seminar: Experimental Media,207,{5860908}
Film and Television,FILM TV,Seminar: Film Authors: Seminar 1  ,221,{5072}
Film and Television,FILM TV,Seminar: Film Criticism,270,{5866785}
Film and Television,FILM TV,Seminar: Historiography,211A,"{5864434,3702}"
Film and Television,FILM TV,Seminar: Historiography,211B,{2512}
Film and Television,FILM TV,Seminar: Issues in Electronic Culture,246,{2860}
Film and Television,FILM TV,Seminar: Media Industries and Cultures of Production--Foundations,201A,{5864984}
Film and Television,FILM TV,Seminar: Media Industries and Cultures of Production--Transmedia,201B,{5864451}
Film and Television,FILM TV,Seminar: Research Design,274,"{5866830,2537}"
Film and Television,FILM TV,Seminar: Selected Topics in American Film History: Seminar 1  ,206B,{5866657}
Film and Television,FILM TV,Seminar: Text and Context in Intermedia Age,215B,{5858938}
Film and Television,FILM TV,Seminar: Theory and Method,215,{5859583}
Film and Television,FILM TV,Seminar: Visual Analysis,204,{5868073}
Film and Television,FILM TV,Senior Symposium,102A,{5860962}
Film and Television,FILM TV,Senior Symposium,102B,{570}
Film and Television,FILM TV,"Special Courses in Film, Television, and Digital Media: Lecture 1  ",188A,{499}
Film and Television,FILM TV,Special Studies in Film and Television: Seminar 1  ,298A,"{1786,5867941}"
Film and Television,FILM TV,Special Studies in Film and Television: Seminar 2  ,298A,"{3910,5860987}"
Film and Television,FILM TV,Special Studies in Film and Television: Seminar 3  ,298A,{5859160}
Film and Television,FILM TV,Special Studies in Film and Television: Seminar 4  ,298A,{5863158}
Film and Television,FILM TV,Special Studies in Film and Television: Seminar 50  ,298A,"{5861643,4778}"
Film and Television,FILM TV,Special Studies in Film and Television: Seminar 94  ,298A,{3709}
Film and Television,FILM TV,Special Studies in Film and Television: Seminar 95  ,298A,{3869}
Film and Television,FILM TV,Special Studies in Film and Television: Seminar 96  ,298A,"{5863653,5042}"
Film and Television,FILM TV,Special Studies in Film and Television: Seminar 97  ,298A,"{5470,5863679}"
Film and Television,FILM TV,Special Studies in Film and Television: Seminar 98  ,298A,"{5864972,2893}"
Film and Television,FILM TV,Special Studies in Film and Television: Seminar 99  ,298A,{5861242}
Film and Television,FILM TV,Symposium,410A,"{3868,5859304}"
Film and Television,FILM TV,TV Development 1,282A,{5860886}
Film and Television,FILM TV,TV Development 2,282B,{1768}
Film and Television,FILM TV,Undergraduate Film Production,175A,{5868330}
Film and Television,FILM TV,Undergraduate Film Production,175B,{2614}
Film and Television,FILM TV,Visual Thinking and Organization for Animation,484A,{5863707}
Film and Television,FILM TV,Visual Thinking and Organization for Animation,484B,{3604}
Film and Television,FILM TV,Writing for Animation,C181B,{5859116}
Film and Television,FILM TV,Writing for Animation,C481B,{5859454}
Film and Television,FILM TV,Writing Half-Hour Comedy Pilot and Series Bible,283B,"{1270,5861700,1103,5861744}"
Film and Television,FILM TV,Writing One-Hour Drama Pilot and Series Bible,284B,"{5859309,5859222,5859280,5859168,1390,1389,2991,5859193}"
Film and Television,FILM TV,Writing Short Screenplays,433,"{5866885,5866826}"
Film and Television,FILM TV,"Youth Culture and MTV: Technology, History, Politics",98TA,{698}
Food Studies,FOOD ST,Community and Corporate Internships in Food Studies,195CE,"{2664550,3055}"
Food Studies,FOOD ST,Critical Thinking about Food and Science Publications,27,{5866378}
Food Studies,FOOD ST,Food and Health in Global Perspective,159,{2298}
Food Studies,FOOD ST,Food Cultures and Food Politics,M132,{459}
Food Studies,FOOD ST,Food Politics: Cultural Solutions to Political Problems,M79,{688}
Food Studies,FOOD ST,"Individual Studies in Foodways, Diet, and Nutrition",197,"{3344731,5864633,5864714}"
Food Studies,FOOD ST,Making Films about Food,M176SL,{3226}
Food Studies,FOOD ST,Research Apprenticeship in Food Studies,196,{5866389}
Food Studies,FOOD ST,Special Topics in Food Studies: Lecture 1  ,187,{409}
Food Studies,FOOD ST,Special Topics in Food Studies: Lecture 2  ,187,{1909}
French,FRNCH,Advanced Expository Writing: Techniques of Argumentation,101,{2700}
French,FRNCH,Advanced Oral Expression,107,{1824}
French,FRNCH,Advanced Practical Translation,108,{250}
French,FRNCH,Contemporary Francophone Literature,203,{607}
French,FRNCH,Contemporary French and Francophone Cultures,130,{5859086}
French,FRNCH,Cultural Studies: Lecture 1  ,202,{5865964}
French,FRNCH,Elementary French,1,"{5867755,5867731,5867611,5867705,2754,5867678,534,5867649,425}"
French,FRNCH,Elementary French,2,"{1882,1981,977,5863992,3301,1205,5864013}"
French,FRNCH,Elementary French,3,"{5864569,2585,2645,5864644,5864613,1204}"
French,FRNCH,French and Francophone Poetry,132,{5858606}
French,FRNCH,French and Francophone Theater in Translation,161,{5863639}
French,FRNCH,French Cinema and Culture,41,{5859044}
French,FRNCH,Intermediate French,4,"{5867586,5867542,1602,2698}"
French,FRNCH,Intermediate French,5,"{3012,2687,5862441,5862465}"
French,FRNCH,Intermediate French,6,"{5868241,5868267,2427,2877}"
French,FRNCH,Introduction to French Culture and Civilization in English,14,{819}
French,FRNCH,Introduction to Study of French and Francophone Literature,12,{5864628}
French,FRNCH,"Paleography of Latin and Vernacular Manuscripts, 900 to 1500",M210,{5864568}
French,FRNCH,Society And Self in Early Modern France,16,{1983}
French,FRNCH,Studies in 17th-Century French Culture and Literature,117,{1551}
French,FRNCH,Studies in 19th-Century French Culture and Literature,119,{3037}
French,FRNCH,Studies in 20th-Century French Culture and Literature: Lecture 1  ,120,{941}
French,FRNCH,Studies in Francophone Cultures and Literatures: Lecture 1  ,121,{5868117}
French,FRNCH,Studies in History of Ideas: Seminar 1  ,207,{5864456}
French,FRNCH,Studies in Middle Ages,215,{1772}
French,FRNCH,Survey of French Literature: Medieval and Renaissance Literature,114A,{5859087}
French,FRNCH,Teaching French at College Level,495,{5867520}
French,FRNCH,Theory and Correction of Diction,104,{2554}
French,FRNCH,Written Expression: Techniques of Description and Narration,100,"{5864574,1935}"
Gender Studies,GENDER,Bodies,104,{2652}
Gender Studies,GENDER,Chicana Feminism,CM132A,{1688}
Gender Studies,GENDER,Critical Media Literacy and Politics of Gender: Theory and Production,CM178,{5864054}
Gender Studies,GENDER,Feminist Geography,M146,{976}
Gender Studies,GENDER,"Gender, Race, and Class in Latin American Literature and Film, 1850 to 1950",123,{1173}
Gender Studies,GENDER,"Gender, Science, and Theory",134,{5864033}
Gender Studies,GENDER,"Global Feminism, 1850 to Present",M186B,{4575}
Gender Studies,GENDER,"Healing, Ritual, and Transformation",CM143,{5866919}
Gender Studies,GENDER,"History of Women in U.S., 1860 to 1980",M147D,{5866942}
Gender Studies,GENDER,Honors Research in Gender Studies,198A,"{5861783,5861659,5861741,5861701}"
Gender Studies,GENDER,Honors Research in Gender Studies,198B,"{4483,3762,2654748,3215574}"
Gender Studies,GENDER,Imaginary Women,M106,{3680}
Gender Studies,GENDER,Individual Studies for USIE Facilitators,188SA,{5867606}
Gender Studies,GENDER,Individual Studies in Gender Studies,197,"{3571226,77622}"
Gender Studies,GENDER,Introduction to Gender Studies,10,"{1402,5864057}"
Gender Studies,GENDER,Introduction to Interdisciplinary Methods in Gender Studies,201,{5867601}
Gender Studies,GENDER,"Introduction to Lesbian, Gay, Bisexual, Transgender, and Queer Studies",M114,{1762}
Gender Studies,GENDER,Key Theories and Concepts in Gender Studies,202,{4035}
Gender Studies,GENDER,Knowledge,103,{5863665}
Gender Studies,GENDER,"Marriage, Family, and Kinship",M154P,{2975}
Gender Studies,GENDER,"Media: Gender, Race, Class, and Sexuality",M149,{1891}
Gender Studies,GENDER,Muslim Feminsms: Queer and Trans Perspectives,98T,{2239}
Gender Studies,GENDER,Power,102,"{2217,5867583}"
Gender Studies,GENDER,"Queer Literatures and Cultures, 1850 to 1970: Intimacy of Queer Life in Early Queer Literature",M105B,{5868069}
Gender Studies,GENDER,Seminar: Current Problems in Comparative Education: Seminar 1  ,M253A,{2610}
Gender Studies,GENDER,Senior Research Seminar: Gender Studies,187,"{5866908,5286,4974,5396}"
Gender Studies,GENDER,Sociology of Family,M174,{946}
Gender Studies,GENDER,Sociology of Gender,M162,{5866633}
Gender Studies,GENDER,Special Topics in American Indian and Gender Studies: Indigenous Others and Gaze,M185A,{4737}
Gender Studies,GENDER,Special Topics in Gender Studies: Feminist Politics of Anger,185,{5385}
Gender Studies,GENDER,"Special Topics in Gender Studies: Gender, Law, and Politics",185,{5866946}
Gender Studies,GENDER,Special Topics in Gender Studies: Lecture 2  ,185,"{5863004,5381}"
Gender Studies,GENDER,Special Topics in Gender Studies: Lecture 3  ,185,"{4088,5864000}"
Gender Studies,GENDER,Special Topics in Gender Studies: Lecture 4  ,185,"{4695,5864004}"
Gender Studies,GENDER,Special Topics in Gender Studies: Lecture 5  ,185,{5858652}
Gender Studies,GENDER,Special Topics in Gender Studies: Lecture 6  ,185,{5863583}
Gender Studies,GENDER,Special Topics in Gender Studies: Lecture 7  ,185,{5866645}
Gender Studies,GENDER,Special Topics in Gender Studies: Romance Films and Feminist Theories,185,{5866921}
Gender Studies,GENDER,"Studies in Women's Writing: Women's Words: Gender, Ethnicity, and History",M107A,{5859067}
Gender Studies,GENDER,Subfields in Gender Studies: Psychoanalysis and Minoritarian Knowledge,205,{5334}
Gender Studies,GENDER,Subfields in Gender Studies: Strife and Solidarity: Queer and Feminist Approaches to Relational and Comparative Racialization,205,{5864042}
Gender Studies,GENDER,Topics in Feminist Philosophy: Metaphysics and Epistemology: Lecture 1  ,M110C,{1370}
Gender Studies,GENDER,Topics in Gender and Sexuality: Seminar 1  ,M191E,{5867044}
Gender Studies,GENDER,"Women and Gender, Prehistory to 1792",M186A,{5858231}
Gender Studies,GENDER,"Women, Gender, and Sexuality in Italian Culture",M158,{5868060}
Gender Studies,GENDER,Women in Russian Literature,M127,{5864604}
Geography,GEOG,Advanced Geographic Information Systems,170,{514}
Geography,GEOG,Advanced Political Geography: Geopolitics,245,{3650}
Geography,GEOG,Advanced Projects in Geographic Information Systems (GIS)/Remote Sensing,214,{3693}
Geography,GEOG,Advanced Topics in Cultural Geography,247,"{5867656,2829}"
Geography,GEOG,Advanced Topics in Economic Geography,248,{5173}
Geography,GEOG,Advanced Topics in Urban Geography,250,{5858479}
Geography,GEOG,Applied Climatology: Principles of Climate Impact on Natural Environment,M106,{5859045}
Geography,GEOG,Biodiversity in Changing World,2,{5861666}
Geography,GEOG,Brazil,182B,{479}
Geography,GEOG,Cartography,167,{5858478}
Geography,GEOG,Cities and Social Difference,151,"{5858539,5858514}"
Geography,GEOG,Cities of Europe,152,{686}
Geography,GEOG,Coastal Geography,277,{5868258}
Geography,GEOG,Community or Corporate Internships in Geography,195,"{2496819,1175}"
Geography,GEOG,Contemporary China,186,{92}
Geography,GEOG,Cultural Geography,3,{1129}
Geography,GEOG,Cultural Geography of Modern World,133,{208}
Geography,GEOG,Earth's Physical Environment,1,{536}
Geography,GEOG,Economic Geography,148,{5858509}
Geography,GEOG,Ecosystem Ecology,M117,{5867061}
Geography,GEOG,"Environmentalisms: Climate Dimensions and Politics Past, Present, Future",M265,{3753}
Geography,GEOG,Feminist Geography,M146,{3101}
Geography,GEOG,Field Methods in Physical Geography,177,{1167}
Geography,GEOG,Forest Ecosystems,111,{5864422}
Geography,GEOG,Geographic Data Visualization and Analysis,208,{5868246}
Geography,GEOG,Geographic Information Systems Programming and Development,173,{5858493}
Geography,GEOG,Globalization: Regional Development and World Economy,4,{5866950}
Geography,GEOG,History and Structure of Modern Geography,200A,{5858474}
Geography,GEOG,Honors Contracts,189HC,"{3813122,4026790,5858497}"
Geography,GEOG,Honors Contracts,89HC,"{5858475,3346800}"
Geography,GEOG,Honors Research in Geography I,198A,"{5858821,3341520,5858843,7385386,5906211,3248677,3218964,3341436,3341470,5858834,2393164,5858863}"
Geography,GEOG,Honors Research in Geography II,198B,"{3346309,3346324,2810946,3070738}"
Geography,GEOG,Human Impact on Biophysical Environment,M109,{3206}
Geography,GEOG,Humid Tropics,113,{5867584}
Geography,GEOG,Hydrology,105,{1433}
Geography,GEOG,Individual Studies for USIE Facilitators,188SA,{5866836}
Geography,GEOG,Individual Studies for USIE Facilitators,188SB,{2123220}
Geography,GEOG,Intermediate Geographic Information Systems,168,{3219}
Geography,GEOG,International Migration,M224,{5063}
Geography,GEOG,Introduction to Biophysical Modeling of Land Surface Processes and Land/Atmosphere Interactions,M206,{5859131}
Geography,GEOG,Introduction to Geographic Information Systems,7,"{204,5867642}"
Geography,GEOG,Introduction to Remote Sensing,169,"{391,5864435}"
Geography,GEOG,Introduction to Spatial Statistics,M171,{5867628}
Geography,GEOG,North America,180,{5866975}
Geography,GEOG,Past People and Their Lessons for Our Own Future,M153,{4682}
Geography,GEOG,People and Earth's Ecosystems,5,"{2528,5867597}"
Geography,GEOG,Political Geography,140,{4495}
Geography,GEOG,Problems in Geography: Culture and Environment in Modern World,159C,{214}
Geography,GEOG,Regional Climate and Terrestrial Surface Processes,256,{3510}
Geography,GEOG,Research and Writing in Human Geography,161,{3104}
Geography,GEOG,Research Group Seminars: Issues in Biophysical Geography,C194A,"{5867637,295}"
Geography,GEOG,Research Group Seminars: Issues in Biophysical Geography,C299B,"{5863993,5161}"
Geography,GEOG,Research Group Seminars: Issues in Human Geography,299A,"{5867103,4914}"
Geography,GEOG,Seminar: Cultural Geography,236,{5858824}
Geography,GEOG,Seminar: Geographical Inquiry,200B,{5858488}
Geography,GEOG,Slavery and Human Trafficking,145,{5866637}
Geography,GEOG,Soils and Environment,M127,{2125}
Geography,GEOG,Soils and Environment: Field,M127L,{2267}
Geography,GEOG,South America,290,{5276}
